"source","population","temperature","country","weeks_survived","survived","exp_length","sample_size","experiment_index","population_index"
,,28,"Corsica",0,0,15,,18,3
,,28,"Corsica",1,0,15,,18,3
,,28,"Corsica",5,0,15,,18,3
,,28,"Corsica",5,0,15,,18,3
,,28,"Corsica",,1,2,,18,3
,,28,"Corsica",,1,2,,18,3
,,28,"Corsica",1,0,15,,18,3
,,28,"Corsica",2,0,15,,18,3
,,28,"Corsica",1,0,15,,18,3
,,28,"Corsica",4,0,15,,18,3
,,28,"Corsica",,1,4,,18,3
,,28,"Corsica",,1,1,,18,3
,,28,"Corsica",4,0,15,,18,3
,,28,"Corsica",4,0,15,,18,3
,,28,"Corsica",,1,0,,18,3
,,28,"Corsica",,1,6,,18,3
,,28,"Corsica",6,0,15,,18,3
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",,1,0,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",,1,0,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",,1,1,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",,1,0,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",,1,0,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",0,0,15,,19,1
,,32,"Senegal",1,0,15,,19,1
,,32,"Senegal",,1,1,,19,1
,,32,"Senegal",0,0,15,,19,1
